employee_id,name,password,department,biometric_data,registration_date,student_id,class_name,voice_data
EMP001,John Doe,pass123,IT,BIOMETRIC_DATA_12345,2023-01-01,,,
EMP002,Jane Smith,pass456,HR,BIOMETRIC_DATA_23456,2023-01-02,,,
EMP003,Mike Johnson,pass789,Finance,BIOMETRIC_DATA_34567,2023-01-03,,,
EMP004,Sarah Williams,pass321,Operations,BIOMETRIC_DATA_45678,2023-01-04,,,
EMP005,Robert Brown,pass654,Marketing,BIOMETRIC_DATA_56789,2023-01-05,,,
EMP006,Lisa Anderson,pass987,IT,BIOMETRIC_DATA_67890,2023-01-06,,,
EMP007,David Wilson,pass147,HR,BIOMETRIC_DATA_78901,2023-01-07,,,
EMP008,Emily Davis,pass258,Finance,BIOMETRIC_DATA_89012,2023-01-08,,,
EMP009,James Miller,pass369,Operations,BIOMETRIC_DATA_90123,2023-01-09,,,
EMP010,Mary Taylor,pass741,Marketing,BIOMETRIC_DATA_01234,2023-01-10,,,
Mrpig123,Pork,1234566,IT,BIO_419289,2025-02-20,,,
Mrpig123,Pork,1234566,IT,BIO_491215,2025-02-20,,,
,pig,123423,,BIO_224839,2025-02-20,123231,Class A,
